"Sid R. Bass Associates","sid-r-bass-associates"
"Astegic Ventures","astegic-ventures"
"Tech Coast Angels","tech-coast-angels"
"Newbury Ventures","newbury-ventures"
"STN Labs","stn-labs"
"Fritas","fritas"
"Longworth Venture Partners","longworth-venture-partners"
"Jerusalem Capital","jerusalem-capital"
"Gmul","gmul"
"Genesis Partners","genesis-partners"
"Firefly3 LLC","firefly3-llc"
"FCPR Israel Discovery Fund","fcpr-israel-discovery-fund"
"Kraft Group","kraft-group"
"Epic Ventures","epic-ventures"
"Novel TMT Ventures","novel-tmt-ventures"
"Easton Capital","easton-capital"
"Frazier Technology Ventures","frazier-technology-ventures"
"WestRiver Capital","westriver-capital"
"Axis Capital Corporation","axis-capital-corporation"
"VenGrowth Capital Partners","vengrowth-capital-partners-3"
"Palomar Ventures","palomar-ventures"
"Veritas Venture Partners","veritas-venture-partners"
"VenFin","venfin"
"Presidio STX","presidio-stx"
"Inventures Group","inventures-group"
"DCM","dcm"
"Maples Investments","maples-investments"
"Felicis Ventures","felicis-ventures"
"The Hit Forge","the-hit-forge"
"Magma Venture Partners","magma-venture-partners"
"eonBusiness","eonbusiness-venture-capital"
"JMI Equity","jmi-equity"
"Compaq Computers","compaq-computer-corp"
"Amerindo Investment Advisors","amerindo-investment-advisors"
"Blacksmith Capital","blacksmith-capital"
"Keynote Ventures","keynote-ventures"
"Crescendo Ventures","crescendo-ventures"
"ZenShin Capital","zenshin-capital"
"GoldHill Capital","goldhill-capital"
"SkyMoon Ventures","skymoon-ventures"
"Mesco, ltd","mesco-ltd"
"Coral Capital Management","coral-capital-management"
"Kern Whelan Capital","kern-whelan-capital"
"Rivenrock Capital","rivenrock-capital"
"Darby Technology Ventures","darby-technology-ventures"
"Blue Chip Venture Company","blue-chip-venture-company"
"Buenos Aires Capital Partners","buenos-aires-capital-partners"
"Flywheel Ventures","flywheel-ventures"
"The eCoast Angel Network","the-ecoast-angel-network"
"Schooner Capital","schooner-capital"
"Tapit Partners","tapit-partners"
"Institutional Venture Partners","institutional-venture-partners"
"Red Hat","red-hat"
